applicant_id,application_date,credit_score,income,age,employment_status,loan_amount,dti_ratio,experiment_group,funnel_stage,decision_outcome,funding_status,defaulted,approved_date,funded_date,funded_amount
APP-00098,2025-03-13,681,59201,66,Employed,26821,0.1664127617097731,B,Funded,Approved,Funded,0,2025-03-16,2025-03-18,26821.0
APP-00099,2025-03-27,650,41997,23,Self-employed,21642,0.05,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00100,2025-03-04,621,35436,52,Employed,9603,0.05,B,Funded,Approved,Funded,0,2025-03-06,2025-03-08,9534.0
APP-00101,2025-01-08,480,61112,21,Self-employed,11692,0.2020439834481903,B,Documents Uploaded,N/A,Not Funded,0,,,
APP-00102,2024-12-08,599,48914,34,Employed,14726,0.21654191191341624,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00103,2025-04-19,608,15000,62,Self-employed,4221,0.17764703845056895,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00104,2025-03-07,553,26829,53,Self-employed,9467,0.2810100926249936,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00105,2024-12-25,630,30835,37,Self-employed,8289,0.08860847338148092,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00106,2025-01-31,698,43874,37,Employed,13288,0.05,B,Approved,Approved,Not Funded,0,,,
APP-00107,2025-04-17,850,81258,45,Self-employed,45374,0.05,A,Documents Uploaded,N/A,Not Funded,0,,,
APP-00108,2025-02-10,670,49851,50,Employed,14988,0.1125215508270416,B,Application Started,N/A,Not Funded,0,,,
APP-00109,2025-04-27,680,51462,59,Employed,25910,0.2206752324142495,B,Funded,Approved,Funded,0,2025-05-01,2025-05-04,24938.0
APP-00110,2025-01-31,641,75369,38,Self-employed,32531,0.06159728256083173,B,Funded,Approved,Funded,0,2025-02-04,2025-02-06,32531.0
APP-00111,2025-01-16,419,15000,24,Employed,4528,0.14812220137320214,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00112,2025-03-04,646,86883,45,Employed,45005,0.05,A,Funded,Approved,Funded,1,2025-03-06,2025-03-07,45005.0
APP-00113,2025-03-19,657,37273,38,Self-employed,15572,0.09352961782783797,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00114,2024-11-23,850,71783,28,Employed,11045,0.05,B,Documents Uploaded,N/A,Not Funded,0,,,
APP-00115,2025-03-10,626,41975,47,Self-employed,7594,0.1576531217057255,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00116,2025-02-10,686,56068,41,Self-employed,27399,0.05,B,Funded,Approved,Funded,0,2025-02-15,2025-02-17,25130.0
APP-00117,2025-05-02,645,58391,47,Employed,20491,0.05,A,Application Started,N/A,Not Funded,0,,,
APP-00118,2024-12-17,509,44576,33,Employed,14820,0.05534566929391749,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00119,2024-12-28,787,48637,49,Employed,10487,0.05,B,Funded,Approved,Funded,0,2024-12-30,2025-01-02,10168.0
APP-00120,2024-12-26,740,36541,28,Employed,8068,0.05,A,Approved,Approved,Not Funded,0,,,
APP-00121,2025-02-25,744,109463,34,Employed,55715,0.05,B,Approved,Approved,Not Funded,0,,,
APP-00122,2025-03-11,540,29320,41,Employed,15336,0.06873735676243217,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00123,2024-12-05,818,80784,64,Self-employed,32475,0.05,B,Funded,Approved,Funded,0,2024-12-06,2024-12-07,31569.0
APP-00124,2024-11-22,481,15000,53,Unemployed,4242,0.38051565242646107,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00125,2024-12-09,720,51407,56,Employed,29287,0.11769239301975828,A,Funded,Approved,Funded,0,2024-12-11,2024-12-14,29287.0
APP-00126,2024-12-18,850,67456,61,Employed,29058,0.05,B,Funded,Approved,Funded,0,2024-12-22,2024-12-24,28183.0
APP-00127,2025-04-13,531,47556,70,Employed,24181,0.5181374139243585,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00128,2024-11-20,582,15000,44,Employed,2272,0.16117591562155492,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00129,2025-02-10,661,54422,61,Employed,19191,0.3417807882264704,B,Funded,Approved,Funded,0,2025-02-12,2025-02-13,18510.0
APP-00130,2025-02-16,589,20905,56,Unemployed,11328,0.2712800141937999,A,Documents Uploaded,N/A,Not Funded,0,,,
APP-00131,2024-12-13,463,37786,55,Employed,11419,0.41247001634311986,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00132,2025-01-24,658,30073,65,Employed,14343,0.2923784074719097,A,Funded,Approved,Funded,0,2025-01-27,2025-01-29,14249.0
APP-00133,2025-05-01,522,20090,38,Employed,8959,0.22888089787737284,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00134,2024-12-02,706,50127,38,Employed,10952,0.05,A,Approved,Approved,Not Funded,0,,,
APP-00135,2025-01-25,539,17853,47,Employed,8903,0.11771876509372124,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00136,2025-04-25,835,58989,41,Unemployed,11835,0.0715318782258105,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00137,2025-01-11,556,16732,47,Employed,7990,0.33032581618526935,A,Application Started,N/A,Not Funded,0,,,
APP-00138,2024-11-15,611,15000,62,Employed,8939,0.3759190027856927,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00139,2025-01-22,747,80059,38,Employed,46521,0.07197951047200643,A,Funded,Approved,Funded,0,2025-01-24,2025-01-26,42790.0
APP-00140,2025-01-22,502,15000,40,Self-employed,7651,0.5129563322786975,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00141,2024-11-07,677,49126,46,Employed,19185,0.05,B,Documents Uploaded,N/A,Not Funded,0,,,
APP-00142,2025-01-17,806,80657,41,Employed,36591,0.11558594854557251,B,Documents Uploaded,N/A,Not Funded,0,,,
APP-00143,2024-11-17,457,18401,21,Employed,8789,0.3440777608819539,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00144,2025-02-28,672,35696,37,Employed,5489,0.1353797904525365,A,Application Started,N/A,Not Funded,0,,,
APP-00145,2025-03-27,681,57624,52,Unemployed,11298,0.23300332699905202,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00146,2024-11-06,743,81658,61,Employed,34188,0.395426186442179,A,Approved,Approved,Not Funded,0,,,
APP-00147,2025-03-24,501,15000,30,Self-employed,2294,0.4717579310566572,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00148,2025-04-29,491,31097,30,Unemployed,17383,0.4984019202428857,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00149,2025-05-02,712,21550,44,Employed,7981,0.05,B,Funded,Approved,Funded,1,2025-05-05,2025-05-07,7705.0
APP-00150,2025-05-03,685,45635,19,Self-employed,12138,0.14229969864393816,B,Funded,Approved,Funded,1,2025-05-05,2025-05-07,11623.0
APP-00151,2025-02-23,680,53684,38,Self-employed,17566,0.11061990989977005,A,Funded,Approved,Funded,0,2025-02-26,2025-02-27,15595.0
APP-00152,2025-02-20,691,37007,23,Employed,19719,0.32239992018304375,B,Funded,Approved,Funded,1,2025-02-23,2025-02-26,18827.0
APP-00153,2024-11-13,568,32660,60,Self-employed,18525,0.24310987071931192,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00154,2025-04-22,677,24535,34,Employed,4963,0.32803127785240394,A,Funded,Approved,Funded,0,2025-04-23,2025-04-26,4365.0
APP-00155,2025-01-18,685,55041,63,Employed,27525,0.05,A,Funded,Approved,Funded,0,2025-01-19,2025-01-21,26449.0
APP-00156,2025-03-25,564,62513,57,Employed,25642,0.47981659875747623,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00157,2025-01-11,850,48057,36,Self-employed,19870,0.05,B,Approved,Approved,Not Funded,0,,,
APP-00158,2024-12-04,706,43146,31,Employed,21605,0.22058262361312048,A,Funded,Approved,Funded,0,2024-12-06,2024-12-08,19367.0
APP-00159,2025-03-11,507,45750,41,Unemployed,11450,0.21160043062961903,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00160,2024-12-27,728,82041,42,Employed,31911,0.15775208859960035,B,Funded,Approved,Funded,0,2024-12-29,2024-12-30,28964.0
APP-00161,2025-02-19,533,15000,48,Self-employed,4405,0.16436192592240564,B,Documents Uploaded,N/A,Not Funded,0,,,
APP-00162,2025-05-01,744,56024,34,Self-employed,10786,0.20047214121349094,B,Funded,Approved,Funded,0,2025-05-03,2025-05-05,9772.0
APP-00163,2025-01-28,789,69562,52,Unemployed,13723,0.11553681989056919,B,Funded,Approved,Funded,0,2025-01-31,2025-02-01,12214.0
APP-00164,2024-12-06,551,38058,47,Employed,8045,0.19614688636017527,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00165,2025-02-16,765,15000,39,Employed,6400,0.10546267634842665,A,Funded,Approved,Funded,0,2025-02-19,2025-02-21,6224.0
APP-00166,2025-02-13,699,64921,35,Self-employed,12829,0.24336489724836868,A,Application Started,N/A,Not Funded,0,,,
APP-00167,2025-02-21,748,90186,41,Unemployed,36664,0.05,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00168,2025-04-01,850,72333,34,Employed,29998,0.05,B,Funded,Approved,Funded,0,2025-04-02,2025-04-04,28762.0
APP-00169,2025-04-26,620,26377,44,Employed,14685,0.05,A,Funded,Approved,Funded,1,2025-04-28,2025-04-29,14685.0
APP-00170,2025-02-12,559,30637,45,Employed,13231,0.0942995949436605,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00171,2025-01-13,543,74698,47,Self-employed,44334,0.13483607309796183,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00172,2025-02-10,552,58399,65,Self-employed,9574,0.423718231372998,A,Documents Uploaded,N/A,Not Funded,0,,,
APP-00173,2024-11-12,640,61800,42,Self-employed,28852,0.2586774731895992,A,Documents Uploaded,N/A,Not Funded,0,,,
APP-00174,2025-03-22,690,61128,56,Employed,9897,0.05,A,Documents Uploaded,N/A,Not Funded,0,,,
APP-00175,2024-11-29,683,40077,46,Employed,19165,0.05,A,Application Started,N/A,Not Funded,0,,,
APP-00176,2024-11-22,749,55888,41,Employed,18087,0.05,B,Documents Uploaded,N/A,Not Funded,0,,,
APP-00177,2025-01-04,651,48541,42,Self-employed,20634,0.29047952947632716,B,Approved,Approved,Not Funded,0,,,
APP-00178,2025-01-15,824,78391,43,Unemployed,22677,0.05,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00179,2025-03-20,618,76978,47,Employed,17058,0.05,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00180,2025-01-10,850,92366,32,Employed,43927,0.05,A,Funded,Approved,Funded,0,2025-01-12,2025-01-13,42774.0
APP-00181,2025-01-23,725,29112,26,Employed,16217,0.15972381621970477,B,Funded,Approved,Funded,0,2025-01-26,2025-01-27,16217.0
APP-00182,2024-12-13,547,44179,51,Self-employed,10276,0.14819523501423468,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00183,2025-04-05,521,51835,54,Employed,29251,0.2840126124977871,B,Documents Uploaded,N/A,Not Funded,0,,,
APP-00184,2024-11-16,707,68077,52,Self-employed,14505,0.05,B,Funded,Approved,Funded,0,2024-11-17,2024-11-18,14505.0
APP-00185,2025-01-25,623,34715,45,Employed,16699,0.3828571088178173,B,Funded,Approved,Funded,0,2025-01-28,2025-01-31,16278.0
APP-00186,2025-03-14,735,116782,53,Employed,67937,0.05,A,Funded,Approved,Funded,1,2025-03-15,2025-03-17,64572.0
APP-00187,2025-01-20,706,30058,52,Unemployed,6502,0.05,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00188,2025-01-28,641,27436,53,Self-employed,9487,0.16605117592262855,B,Application Started,N/A,Not Funded,0,,,
APP-00189,2025-04-12,548,44471,33,Employed,13423,0.25886760050496377,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00190,2024-12-28,468,74136,30,Employed,24080,0.49327400907990043,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00191,2025-01-05,596,27876,39,Unemployed,13628,0.4124070838893332,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00192,2025-02-07,752,54883,43,Employed,24562,0.218543487653375,A,Funded,Approved,Funded,1,2025-02-09,2025-02-10,23437.0
APP-00193,2025-04-12,675,74045,41,Self-employed,43383,0.07396389591112876,B,Approved,Approved,Not Funded,0,,,
APP-00194,2024-11-21,500,34642,21,Employed,8087,0.3957670449721482,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00195,2025-02-08,670,45307,64,Self-employed,17872,0.3607749865435673,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00196,2024-11-06,696,65912,40,Employed,23208,0.33404982125625077,B,Approved,Approved,Not Funded,0,,,
APP-00197,2025-04-01,543,44750,46,Employed,25215,0.16486407679596962,B,Underwriting Review,Rejected,Not Funded,0,,,
APP-00198,2024-12-10,668,72408,58,Self-employed,11207,0.22883678249650163,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00199,2025-04-08,656,76429,18,Employed,45484,0.21848083591577397,B,Funded,Approved,Funded,0,2025-04-11,2025-04-12,45484.0
APP-00200,2024-12-06,512,42340,37,Employed,15491,0.47395813166670503,A,Application Started,N/A,Not Funded,0,,,
APP-00201,2025-02-10,692,60034,39,Employed,25904,0.29654263517566815,B,Application Started,N/A,Not Funded,0,,,
APP-00202,2024-12-28,717,60982,39,Employed,19027,0.05,A,Application Started,N/A,Not Funded,0,,,
APP-00203,2025-04-05,779,72682,41,Employed,38785,0.05,B,Documents Uploaded,N/A,Not Funded,0,,,
APP-00204,2025-01-26,776,63703,61,Employed,25665,0.14114131344613887,A,Funded,Approved,Funded,0,2025-01-27,2025-01-29,24772.0
APP-00205,2025-01-10,484,33387,52,Employed,14966,0.392204613227498,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00206,2024-11-06,537,62632,55,Employed,27683,0.05,B,Approved,Approved,Not Funded,0,,,
APP-00207,2024-11-22,711,86422,44,Unemployed,27118,0.05,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00208,2024-12-30,711,25948,27,Employed,4779,0.18563597119484673,B,Funded,Approved,Funded,0,2025-01-02,2025-01-03,4779.0
APP-00209,2024-12-15,711,56300,19,Employed,28908,0.21211663838574787,A,Funded,Approved,Funded,0,2024-12-16,2024-12-17,27565.0
APP-00210,2025-03-09,850,56226,25,Employed,15764,0.05,A,Funded,Approved,Funded,0,2025-03-10,2025-03-12,14457.0
APP-00211,2025-03-17,718,50580,48,Employed,26909,0.2423751343191763,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00212,2024-11-19,786,71650,44,Self-employed,30371,0.05,B,Funded,Approved,Funded,0,2024-11-22,2024-11-24,30366.0
APP-00213,2024-11-18,764,74788,41,Employed,23121,0.05,A,Funded,Approved,Funded,0,2024-11-22,2024-11-23,22029.0
APP-00214,2025-04-07,728,55557,39,Employed,23190,0.05,B,Funded,Approved,Funded,0,2025-04-09,2025-04-11,23190.0
APP-00215,2025-02-20,612,15000,68,Employed,6607,0.05,B,Application Started,N/A,Not Funded,0,,,
APP-00216,2025-02-07,741,39799,34,Employed,18626,0.05,A,Documents Uploaded,N/A,Not Funded,0,,,
APP-00217,2025-01-22,557,58629,55,Self-employed,30490,0.05,A,Underwriting Review,Rejected,Not Funded,0,,,
APP-00218,2024-11-30,621,15000,44,Self-employed,3328,0.18767505765028256,A,Application Started,N/A,Not Funded,0,,,
APP-00219,2025-03-31,591,67848,43,Employed,39003,0.3243178031891998,A,Underwriting Review,Rejected,Not Funded,0,,,
